alphabet,id,han_num,chinese_name
A,air,2,空气
A,allay_spawn_egg,5,悦灵刷怪蛋
A,armadillo_spawn_egg,5,犰狳刷怪蛋
A,axolotl_spawn_egg,6,美西螈刷怪蛋
B,barrier,2,屏障
B,bat_spawn_egg,5,蝙蝠刷怪蛋
B,bedrock,2,基岩
B,bee_spawn_egg,5,蜜蜂刷怪蛋
B,blaze_spawn_egg,6,烈焰人刷怪蛋
B,bogged_spawn_egg,5,沼骸刷怪蛋
B,breeze_spawn_egg,6,旋风人刷怪蛋
B,budding_amethyst,5,紫水晶母岩
C,camel_spawn_egg,5,骆驼刷怪蛋
C,cat_spawn_egg,4,猫刷怪蛋
C,cave_spider_spawn_egg,7,洞穴蜘蛛刷怪蛋
C,chain_command_block,7,连锁型命令方块
C,chicken_spawn_egg,4,鸡刷怪蛋
C,chorus_plant,4,紫颂植株
C,cod_spawn_egg,5,鳕鱼刷怪蛋
C,command_block,4,命令方块
C,command_block_minecart,6,命令方块矿车
C,cow_spawn_egg,4,牛刷怪蛋
C,creaking_spawn_egg,5,嘎枝刷怪蛋
C,creeper_spawn_egg,6,苦力怕刷怪蛋
D,debug_stick,3,调试棒
D,dirt_path,2,土径
D,dolphin_spawn_egg,5,海豚刷怪蛋
D,donkey_spawn_egg,4,驴刷怪蛋
D,drowned_spawn_egg,5,溺尸刷怪蛋
E,elder_guardian_spawn_egg,8,远古守卫者刷怪蛋
E,end_portal_frame,7,末地传送门框架
E,ender_dragon_spawn_egg,6,末影龙刷怪蛋
E,enderman_spawn_egg,6,末影人刷怪蛋
E,endermite_spawn_egg,6,末影螨刷怪蛋
E,evoker_spawn_egg,6,唤魔者刷怪蛋
F,farmland,2,耕地
F,fox_spawn_egg,5,狐狸刷怪蛋
F,frogspawn,3,青蛙卵
F,frog_spawn_egg,5,青蛙刷怪蛋
G,ghast_spawn_egg,5,恶魂刷怪蛋
G,glow_squid_spawn_egg,7,发光鱿鱼刷怪蛋
G,goat_spawn_egg,5,山羊刷怪蛋
G,guardian_spawn_egg,6,守卫者刷怪蛋
H,happy_ghast_spawn_egg,7,快乐恶魂刷怪蛋
H,hoglin_spawn_egg,6,疣猪兽刷怪蛋
H,horse_spawn_egg,4,马刷怪蛋
H,husk_spawn_egg,5,尸壳刷怪蛋
I,infested_chiseled_stone_bricks,6,虫蚀雕纹石砖
I,infested_cobblestone,4,虫蚀圆石
I,infested_cracked_stone_bricks,6,虫蚀裂纹石砖
I,infested_deepslate,5,虫蚀深板岩
I,infested_mossy_stone_bricks,5,虫蚀苔石砖
I,infested_stone,4,虫蚀石头
I,infested_stone_bricks,4,虫蚀石砖
I,iron_golem_spawn_egg,6,铁傀儡刷怪蛋
J,jigsaw,4,拼图方块
K,knowledge_book,4,知识之书
L,light,4,光源方块
L,llama_spawn_egg,5,羊驼刷怪蛋
M,magma_cube_spawn_egg,6,岩浆怪刷怪蛋
M,mooshroom_spawn_egg,5,哞菇刷怪蛋
M,mule_spawn_egg,4,骡刷怪蛋
O,ocelot_spawn_egg,5,豹猫刷怪蛋
P,panda_spawn_egg,5,熊猫刷怪蛋
P,parrot_spawn_egg,5,鹦鹉刷怪蛋
P,petrified_oak_slab,6,石化橡木台阶
P,phantom_spawn_egg,5,幻翼刷怪蛋
P,pig_spawn_egg,4,猪刷怪蛋
P,piglin_brute_spawn_egg,7,猪灵蛮兵刷怪蛋
P,piglin_spawn_egg,5,猪灵刷怪蛋
P,pillager_spawn_egg,6,掠夺者刷怪蛋
P,player_head,4,玩家的头
P,polar_bear_spawn_egg,6,北极熊刷怪蛋
P,pufferfish_spawn_egg,5,河豚刷怪蛋
R,rabbit_spawn_egg,5,兔子刷怪蛋
R,ravager_spawn_egg,6,劫掠兽刷怪蛋
R,reinforced_deepslate,5,强化深板岩
R,repeating_command_block,7,循环型命令方块
S,salmon_spawn_egg,5,鲑鱼刷怪蛋
S,sheep_spawn_egg,5,绵羊刷怪蛋
S,shulker_spawn_egg,6,潜影贝刷怪蛋
S,silverfish_spawn_egg,5,蠹虫刷怪蛋
S,skeleton_horse_spawn_egg,6,骷髅马刷怪蛋
S,skeleton_spawn_egg,5,骷髅刷怪蛋
S,slime_spawn_egg,6,史莱姆刷怪蛋
S,sniffer_spawn_egg,6,嗅探兽刷怪蛋
S,snow_golem_spawn_egg,6,雪傀儡刷怪蛋
S,spawner,3,刷怪笼
S,spider_spawn_egg,5,蜘蛛刷怪蛋
S,squid_spawn_egg,5,鱿鱼刷怪蛋
S,stray_spawn_egg,6,流浪者刷怪蛋
S,strider_spawn_egg,6,炽足兽刷怪蛋
S,structure_block,4,结构方块
S,structure_void,4,结构空位
T,tadpole_spawn_egg,5,蝌蚪刷怪蛋
T,test_block,4,测试方块
T,test_instance_block,6,测试实例方块
T,trader_llama_spawn_egg,7,行商羊驼刷怪蛋
T,trial_spawner,5,试炼刷怪笼
T,tropical_fish_spawn_egg,6,热带鱼刷怪蛋
T,turtle_spawn_egg,5,海龟刷怪蛋
V,vault,2,宝库
V,vex_spawn_egg,5,恼鬼刷怪蛋
V,villager_spawn_egg,5,村民刷怪蛋
V,vindicator_spawn_egg,6,卫道士刷怪蛋
W,wandering_trader_spawn_egg,7,流浪商人刷怪蛋
W,warden_spawn_egg,6,监守者刷怪蛋
W,witch_spawn_egg,5,女巫刷怪蛋
W,wither_skeleton_spawn_egg,7,凋灵骷髅刷怪蛋
W,wither_spawn_egg,5,凋灵刷怪蛋
W,wolf_spawn_egg,4,狼刷怪蛋
Z,zoglin_spawn_egg,8,僵尸疣猪兽刷怪蛋
Z,zombie_horse_spawn_egg,6,僵尸马刷怪蛋
Z,zombie_spawn_egg,5,僵尸刷怪蛋
Z,zombie_villager_spawn_egg,7,僵尸村民刷怪蛋
Z,zombified_piglin_spawn_egg,7,僵尸猪灵刷怪蛋
