alphabet,id,han_num,chinese_name
A,acacia_boat,5,金合欢木船
A,acacia_button,6,金合欢木按钮
A,acacia_chest_boat,7,金合欢木运输船
A,acacia_door,5,金合欢木门
A,acacia_fence,6,金合欢木栅栏
A,acacia_fence_gate,7,金合欢木栅栏门
A,acacia_hanging_sign,10,悬挂式金合欢木告示牌
A,acacia_leaves,5,金合欢树叶
A,acacia_log,5,金合欢原木
A,acacia_planks,5,金合欢木板
A,acacia_pressure_plate,7,金合欢木压力板
A,acacia_sapling,5,金合欢树苗
A,acacia_sign,7,金合欢木告示牌
A,acacia_slab,6,金合欢木台阶
A,acacia_stairs,6,金合欢木楼梯
A,acacia_trapdoor,7,金合欢木活板门
A,acacia_wood,4,金合欢木
A,activator_rail,4,激活铁轨
A,allium,3,绒球葱
A,amethyst_block,4,紫水晶块
A,amethyst_cluster,4,紫水晶簇
A,amethyst_shard,5,紫水晶碎片
A,ancient_debris,4,远古残骸
A,andesite,3,安山岩
A,andesite_slab,5,安山岩台阶
A,andesite_stairs,5,安山岩楼梯
A,andesite_wall,4,安山岩墙
A,angler_pottery_sherd,6,垂钓纹样陶片
A,anvil,2,铁砧
A,apple,2,苹果
A,archer_pottery_sherd,6,弓箭纹样陶片
A,armadillo_scute,4,犰狳鳞甲
A,armor_stand,3,盔甲架
A,arms_up_pottery_sherd,6,举臂纹样陶片
A,arrow,1,箭
A,axolotl_bucket,4,美西螈桶
A,azalea,4,杜鹃花丛
A,azalea_leaves,4,杜鹃树叶
A,azure_bluet,5,蓝花美耳草
B,baked_potato,4,烤马铃薯
B,bamboo,2,竹子
B,bamboo_block,2,竹块
B,bamboo_button,3,竹按钮
B,bamboo_chest_raft,4,运输竹筏
B,bamboo_door,2,竹门
B,bamboo_fence,3,竹栅栏
B,bamboo_fence_gate,4,竹栅栏门
B,bamboo_hanging_sign,7,悬挂式竹告示牌
B,bamboo_mosaic,4,竹马赛克
B,bamboo_mosaic_slab,6,竹马赛克台阶
B,bamboo_mosaic_stairs,6,竹马赛克楼梯
B,bamboo_planks,2,竹板
B,bamboo_pressure_plate,4,竹压力板
B,bamboo_raft,2,竹筏
B,bamboo_sign,4,竹告示牌
B,bamboo_slab,3,竹台阶
B,bamboo_stairs,3,竹楼梯
B,bamboo_trapdoor,4,竹活板门
B,barrel,2,木桶
B,barrier,2,屏障
B,basalt,3,玄武岩
B,beacon,2,信标
B,bee_nest,2,蜂巢
B,beef,3,生牛肉
B,beehive,2,蜂箱
B,beetroot,3,甜菜根
B,beetroot_seeds,4,甜菜种子
B,beetroot_soup,3,甜菜汤
B,bell,1,钟
B,big_dripleaf,5,大型垂滴叶
B,birch_boat,4,白桦木船
B,birch_button,5,白桦木按钮
B,birch_chest_boat,6,白桦木运输船
B,birch_door,4,白桦木门
B,birch_fence,5,白桦木栅栏
B,birch_fence_gate,6,白桦木栅栏门
B,birch_hanging_sign,9,悬挂式白桦木告示牌
B,birch_leaves,4,白桦树叶
B,birch_log,4,白桦原木
B,birch_planks,4,白桦木板
B,birch_pressure_plate,6,白桦木压力板
B,birch_sapling,4,白桦树苗
B,birch_sign,6,白桦木告示牌
B,birch_slab,5,白桦木台阶
B,birch_stairs,5,白桦木楼梯
B,birch_trapdoor,6,白桦木活板门
B,birch_wood,3,白桦木
B,black_banner,4,黑色旗帜
B,black_bed,3,黑色床
B,black_bundle,5,黑色收纳袋
B,black_candle,4,黑色蜡烛
B,black_carpet,4,黑色地毯
B,black_concrete,5,黑色混凝土
B,black_concrete_powder,7,黑色混凝土粉末
B,black_dye,4,黑色染料
B,black_glazed_terracotta,6,黑色带釉陶瓦
B,black_harness,4,黑色挽具
B,black_shulker_box,5,黑色潜影盒
B,black_stained_glass,6,黑色染色玻璃
B,black_stained_glass_pane,7,黑色染色玻璃板
B,black_terracotta,4,黑色陶瓦
B,black_wool,4,黑色羊毛
B,blackstone,2,黑石
B,blackstone_slab,4,黑石台阶
B,blackstone_stairs,4,黑石楼梯
B,blackstone_wall,3,黑石墙
B,blade_pottery_sherd,6,利刃纹样陶片
B,blast_furnace,2,高炉
B,blaze_powder,3,烈焰粉
B,blaze_rod,3,烈焰棒
B,blue_banner,4,蓝色旗帜
B,blue_bed,3,蓝色床
B,blue_bundle,5,蓝色收纳袋
B,blue_candle,4,蓝色蜡烛
B,blue_carpet,4,蓝色地毯
B,blue_concrete,5,蓝色混凝土
B,blue_concrete_powder,7,蓝色混凝土粉末
B,blue_dye,4,蓝色染料
B,blue_egg,4,蓝色鸡蛋
B,blue_glazed_terracotta,6,蓝色带釉陶瓦
B,blue_harness,4,蓝色挽具
B,blue_ice,2,蓝冰
B,blue_orchid,2,兰花
B,blue_shulker_box,5,蓝色潜影盒
B,blue_stained_glass,6,蓝色染色玻璃
B,blue_stained_glass_pane,7,蓝色染色玻璃板
B,blue_terracotta,4,蓝色陶瓦
B,blue_wool,4,蓝色羊毛
B,bolt_armor_trim_smithing_template,4,锻造模板
B,bone,2,骨头
B,bone_block,2,骨块
B,bone_meal,2,骨粉
B,book,1,书
B,bookshelf,2,书架
B,bordure_indented_banner_pattern,7,波纹边旗帜图案
B,bow,1,弓
B,bowl,1,碗
B,brain_coral,4,脑纹珊瑚
B,brain_coral_block,5,脑纹珊瑚块
B,brain_coral_fan,5,脑纹珊瑚扇
B,bread,2,面包
B,breeze_rod,3,旋风棒
B,brewer_pottery_sherd,6,佳酿纹样陶片
B,brewing_stand,3,酿造台
B,brick,2,红砖
B,brick_slab,4,红砖台阶
B,brick_stairs,4,红砖楼梯
B,brick_wall,3,红砖墙
B,bricks,3,红砖块
B,brown_banner,4,棕色旗帜
B,brown_bed,3,棕色床
B,brown_bundle,5,棕色收纳袋
B,brown_candle,4,棕色蜡烛
B,brown_carpet,4,棕色地毯
B,brown_concrete,5,棕色混凝土
B,brown_concrete_powder,7,棕色混凝土粉末
B,brown_dye,4,棕色染料
B,brown_egg,4,棕色鸡蛋
B,brown_glazed_terracotta,6,棕色带釉陶瓦
B,brown_harness,4,棕色挽具
B,brown_mushroom,4,棕色蘑菇
B,brown_mushroom_block,6,棕色蘑菇方块
B,brown_shulker_box,5,棕色潜影盒
B,brown_stained_glass,6,棕色染色玻璃
B,brown_stained_glass_pane,7,棕色染色玻璃板
B,brown_terracotta,4,棕色陶瓦
B,brown_wool,4,棕色羊毛
B,brush,2,刷子
B,bubble_coral,4,气泡珊瑚
B,bubble_coral_block,5,气泡珊瑚块
B,bubble_coral_fan,5,气泡珊瑚扇
B,bucket,2,铁桶
B,bundle,3,收纳袋
B,burn_pottery_sherd,6,烈焰纹样陶片
B,bush,3,灌木丛
C,cactus,3,仙人掌
C,cactus_flower,4,仙人掌花
C,cake,2,蛋糕
C,calcite,3,方解石
C,calibrated_sculk_sensor,7,校频幽匿感测体
C,campfire,2,营火
C,candle,2,蜡烛
C,carrot,3,胡萝卜
C,carrot_on_a_stick,5,胡萝卜钓竿
C,cartography_table,3,制图台
C,carved_pumpkin,4,雕刻南瓜
C,cauldron,3,炼药锅
C,chain,2,锁链
C,chainmail_boots,4,锁链靴子
C,chainmail_chestplate,4,锁链胸甲
C,chainmail_helmet,4,锁链头盔
C,chainmail_leggings,4,锁链护腿
C,charcoal,2,木炭
C,cherry_boat,4,樱花木船
C,cherry_button,5,樱花木按钮
C,cherry_chest_boat,6,樱花木运输船
C,cherry_door,4,樱花木门
C,cherry_fence,5,樱花木栅栏
C,cherry_fence_gate,6,樱花木栅栏门
C,cherry_hanging_sign,9,悬挂式樱花木告示牌
C,cherry_leaves,4,樱花树叶
C,cherry_log,4,樱花原木
C,cherry_planks,4,樱花木板
C,cherry_pressure_plate,6,樱花木压力板
C,cherry_sapling,4,樱花树苗
C,cherry_sign,6,樱花木告示牌
C,cherry_slab,5,樱花木台阶
C,cherry_stairs,5,樱花木楼梯
C,cherry_trapdoor,6,樱花木活板门
C,cherry_wood,3,樱花木
C,chest,2,箱子
C,chest_minecart,4,运输矿车
C,chicken,3,生鸡肉
C,chipped_anvil,5,开裂的铁砧
C,chiseled_bookshelf,4,雕纹书架
C,chiseled_copper,4,雕纹铜块
C,chiseled_deepslate,5,雕纹深板岩
C,chiseled_nether_bricks,6,雕纹下界砖块
C,chiseled_polished_blackstone,6,雕纹磨制黑石
C,chiseled_quartz_block,5,雕纹石英块
C,chiseled_red_sandstone,5,雕纹红砂岩
C,chiseled_resin_bricks,6,雕纹树脂砖块
C,chiseled_sandstone,4,雕纹砂岩
C,chiseled_stone_bricks,4,雕纹石砖
C,chiseled_tuff,5,雕纹凝灰岩
C,chiseled_tuff_bricks,6,雕纹凝灰岩砖
